vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW	is.bnAb
IGHV3-66	20	3.9000000000000004	IGKV1-5	9	0.01	0.01	0	0	0
IGHV4-59	12	1.45	IGKV4-1	9	0.08	0.07	0	0	0
IGHV6-1	7	0.95	IGKV4-1	9	0.0	0.0	0	0	0
IGHV3-48	20	2.1	IGLV3-19	10	0.18	0.15	0	0	0
IGHV4-59	12	3.6	IGLV1-47	11	0.01	0.01	0	0	0
IGHV6-1	29	6.35	IGLV1-44	12	0.0	0.0	0	0	0
IGHV4-59	12	1.95	IGKV1-12	9	0.05	0.02	0	0	0
IGHV3-48	20	6.1499999999999995	IGKV4-1	9	0.05	0.01	0	0	0
IGHV4-34	23	2.65	IGKV1-39	9	0.0	0.0	0	0	0
IGHV3-7	14	2.75	IGKV4-1	9	0.03	0.02	0	0	0
IGHV4-59	12	1.6	IGLV2-14	12	0.12	0.09	0	0	0
IGHV3-15	30	3.850000000000001	IGKV2-28	9	0.0	0.0	0	0	0
IGHV4-59	12	2.1	IGKV3-11	9	0.11	0.07	0	0	0
IGHV5-10-1	14	1.6500000000000001	IGKV1-27	9	0.15	0.17	0	0	0
IGHV5-10-1	14	1.7	IGKV1-5	8	0.08	0.09	0	0	0
IGHV4-59	12	2.55	IGKV1-5	9	0.06	0.04	0	0	0
IGHV4-34	20	2.3000000000000003	IGKV3-11	8	0.12	0.1	0	0	0
IGHV4-59	12	3.95	IGLV2-23	11	0.21	0.17	0	0	0
IGHV4-34	20	3.8500000000000005	IGLV3-19	11	0.05	0.06	0	0	0
IGHV4-4	12	2.55	IGLV7-46	10	0.15	0.1	0	0	0
IGHV3-11	20	4.6	IGKV3D-20	9	0.11	0.1	0	0	0
IGHV4-59	12	1.15	IGKV1-5	10	0.09	0.06	0	0	0
IGHV1-3	17	2.0	IGKV3-20	8	0.07	0.04	0	0	0
IGHV3-11	20	1.7500000000000002	IGKV3-15	9	0.11	0.09	0	0	0
IGHV3-11	21	3.2	IGLV6-57	11	0.0	0.0	0	0	0
IGHV3-49	21	4.4	IGKV1-39	9	0.14	0.09	0	0	0
IGHV2-5	11	3.35	IGKV4-1	9	0.1	0.1	0	0	0
IGHV4-39	18	3.5	IGKV3-15	11	0.01	0.0	0	0	0
IGHV7-4-1	12	1.55	IGLV1-40	11	0.0	0.0	0	0	0
IGHV3-7	17	5.1	IGKV2-29	9	0.0	0.0	0	0	0
IGHV4-39	14	1.55	IGLV4-60	10	0.0	0.0	0	0	0
IGHV3-23	18	3.6	IGKV3-11	9	0.1	0.07	0	0	0
IGHV3-7	20	3.6500000000000004	IGLV7-43	11	0.06	0.02	0	0	0
IGHV4-31	17	2.75	IGKV1-5	7	0.15	0.11	0	0	0
IGHV3-7	20	2.75	IGKV4-1	9	0.08	0.07	0	0	0
IGHV3-7	20	2.75	IGKV4-1	9	0.07	0.06	0	0	0
IGHV3-7	20	2.75	IGKV4-1	9	0.1	0.1	0	0	0
IGHV3-7	20	3.0	IGKV4-1	9	0.11	0.09	0	0	0
IGHV3-7	20	2.75	IGKV4-1	9	0.05	0.05	0	0	0
IGHV3-7	20	3.0	IGKV4-1	9	0.05	0.04	0	0	0
IGHV3-7	20	3.0	IGKV4-1	9	0.11	0.09	0	0	0
IGHV4-31	17	1.65	IGKV3-20	9	0.09	0.07	0	0	0
IGHV3-30-3	12	1.15	IGKV4-1	9	0.17	0.13	0	0	0
IGHV4-31	17	2.9	IGKV4-1	9	0.05	0.04	0	0	0
IGHV3-30-3	12	1.05	IGLV7-43	9	0.04	0.01	0	0	0
IGHV4-31	17	3.8	IGKV2-28	9	0.11	0.07	0	0	0
IGHV3-30-3	12	1.85	IGKV3-20	11	0.02	0.01	0	0	0
IGHV4-31	17	2.5	IGLV1-51	11	0.0	0.0	0	0	0
IGHV3-30	12	1.35	IGKV4-1	9	0.09	0.09	0	0	0
IGHV4-31	17	2.6500000000000004	IGKV1-33	9	0.12	0.11	0	0	0
IGHV3-30	12	1.55	IGKV2-30	10	0.25	0.2	0	0	0
IGHV5-10-1	13	1.2500000000000002	IGKV1-39	9	0.09	0.05	0	0	0
IGHV3-30-3	12	1.3000000000000003	IGLV1-44	9	0.15	0.12	0	0	0
IGHV2-5	17	3.7	IGLV3-1	9	0.06	0.06	0	0	0
IGHV3-30-3	12	1.65	IGLV1-40	11	0.04	0.04	0	0	0
IGHV3-30	12	1.25	IGLV3-21	11	0.19	0.16	0	0	0
IGHV2-5	17	1.0	IGLV1-47	11	0.09	0.1	0	0	0
IGHV2-5	17	0.9	IGLV1-47	11	0.04	0.04	0	0	0
IGHV2-5	17	0.9	IGLV1-47	11	0.06	0.05	0	0	0
IGHV2-26	17	5.35	IGKV1-39	9	0.0	0.0	0	0	0
IGHV2-5	16	3.1500000000000004	IGKV1-5	8	0.0	0.0	0	0	0
IGHV4-39	21	1.6500000000000001	IGKV1-16	9	0.1	0.09	0	0	0
IGHV3-23	14	1.8499999999999999	IGKV3-15	9	0.13	0.07	0	0	0
IGHV3-30	21	4.2	IGLV1-51	11	0.01	0.01	0	0	0
IGHV4-39	14	4.3999999999999995	IGKV3-20	9	0.1	0.06	0	0	0
IGHV4-39	18	4.550000000000001	IGKV1-5	10	0.0	0.0	0	0	0
IGHV3-30-3	15	2.6	IGKV1-33	10	0.0	0.0	0	0	0
IGHV3-23	18	2.95	IGKV3-15	8	0.1	0.1	0	0	0
IGHV2-5	11	1.9000000000000001	IGLV1-44	11	0.08	0.05	0	0	0
IGHV3-23	17	3.4	IGKV1-39	9	0.2	0.17	0	0	0
IGHV3-30-3	12	2.75	IGKV2-24	8	0.1	0.06	0	0	0
IGHV3-30-3	12	1.15	IGLV7-43	9	0.11	0.09	0	0	0
IGHV3-23	17	3.0000000000000004	IGKV1-12	9	0.05	0.06	0	0	0
IGHV3-30-3	12	1.65	IGKV1-16	9	0.04	0.04	0	0	0
IGHV3-7	17	3.9	IGKV3-20	9	0.06	0.04	0	0	0
IGHV3-30	12	1.35	IGLV2-14	10	0.05	0.04	0	0	0
IGHV3-7	17	2.4	IGKV4-1	9	0.11	0.07	0	0	0
IGHV3-30	12	2.1	IGKV2-24	9	0.12	0.11	0	0	0
IGHV3-21	17	2.4500000000000006	IGLV2-14	10	0.06	0.05	0	0	0
IGHV3-21	17	3.9000000000000004	IGLV1-51	12	0.07	0.02	0	0	0
IGHV3-30	12	2.2	IGKV3-20	9	0.17	0.11	0	0	0
IGHV3-21	17	2.35	IGKV1-39	8	0.0	0.0	0	0	0
IGHV3-30	12	1.15	IGLV1-51	11	0.18	0.11	0	0	0
IGHV3-30-3	12	4.2	IGLV7-43	11	0.09	0.07	0	0	0
IGHV3-21	17	2.65	IGLV2-11	10	0.1	0.07	0	0	0
IGHV3-21	17	2.65	IGLV2-11	10	0.1	0.07	0	0	0
IGHV3-21	17	3.0	IGKV3-15	10	0.17	0.17	0	0	0
IGHV3-30-3	12	1.65	IGLV7-43	9	0.08	0.05	0	0	0
IGHV3-30	12	2.45	IGKV1-5	9	0.0	0.0	0	0	0
IGHV3-21	17	4.7	IGKV3-20	10	0.06	0.04	0	0	0
IGHV4-39	21	3.5500000000000007	IGKV3-11	10	0.12	0.1	0	0	0
IGHV3-23	17	4.0	IGLV2-8	11	0.0	0.0	0	0	0
IGHV3-9	18	3.3500000000000005	IGKV3-11	9	0.0	0.0	0	0	0
IGHV3-23	14	2.3	IGLV2-8	11	0.0	0.0	0	0	0
IGHV5-51	15	1.4	IGKV3-20	9	0.0	0.0	0	0	0
IGHV3-23	17	3.8000000000000003	IGLV1-44	11	0.04	0.01	0	0	0
IGHV5-51	12	3.7	IGKV1-9	9	0.0	0.0	0	0	0
IGHV2-5	11	1.7	IGKV3D-11	5	0.22	0.21	0	0	0
IGHV2-5	11	1.45	IGKV3D-11	5	0.15	0.13	0	0	0
IGHV1-18	15	1.0	IGLV1-44	11	0.0	0.0	0	0	0
IGHV3-9	18	2.3000000000000003	IGKV3-11	8	0.07	0.06	0	0	0
IGHV3-21	17	3.35	IGKV4-1	8	0.05	0.02	0	0	0
IGHV3-21	17	3.35	IGKV4-1	8	0.05	0.02	0	0	0
IGHV3-30	12	2.15	IGKV3-20	11	0.07	0.05	0	0	0
IGHV3-21	17	4.0	IGKV4-1	8	0.02	0.01	0	0	0
IGHV3-30	12	1.45	IGKV2-24	9	0.13	0.11	0	0	0
IGHV3-30	12	2.2	IGKV1-5	9	0.08	0.02	0	0	0
IGHV3-30	12	2.2	IGKV1-5	9	0.14	0.12	0	0	0
IGHV3-30	12	2.2	IGKV1-5	9	0.08	0.04	0	0	0
IGHV3-21	17	2.0500000000000003	IGKV3-11	9	0.12	0.09	0	0	0
IGHV1-46	17	3.1	IGKV3-20	9	0.05	0.04	0	0	0
IGHV3-30-3	12	2.2	IGKV3-15	9	0.12	0.07	0	0	0
IGHV1-46	17	2.45	IGLV3-10	11	0.07	0.05	0	0	0
IGHV3-30-3	12	1.25	IGKV2-24	9	0.13	0.1	0	0	0
IGHV3-73	14	2.4000000000000004	IGKV4-1	9	0.06	0.05	0	0	0
IGHV1-46	17	2.1	IGLV2-14	11	0.08	0.05	0	0	0
IGHV1-46	17	2.1	IGLV2-14	11	0.08	0.05	0	0	0
IGHV1-69	20	2.1500000000000004	IGKV3-20	9	0.12	0.11	0	0	0
IGHV3-9	17	3.8000000000000003	IGLV1-51	11	0.08	0.05	0	0	0
IGHV1-46	14	2.15	IGKV2-28	9	0.19	0.16	0	0	0
IGHV3-9	17	3.1500000000000004	IGLV3-19	11	0.09	0.05	0	0	0
IGHV1-46	14	2.65	IGKV1-39	9	0.17	0.2	0	0	0
IGHV1-46	14	2.5500000000000003	IGKV3-20	9	0.06	0.06	0	0	0
IGHV6-1	11	2.8000000000000003	IGKV1-33	9	0.02	0.01	0	0	0
IGHV4-39	21	4.4	IGLV3-10	9	0.01	0.0	0	0	0
IGHV1-3	15	2.45	IGLV1-40	11	0.0	0.0	0	0	0
IGHV3-15	17	3.6500000000000004	IGKV2-30	9	0.03	0.02	0	0	0
IGHV3-9	18	6.05	IGKV3-15	11	0.0	0.0	0	0	0
IGHV5-51	12	2.85	IGLV8-61	10	0.05	0.05	0	0	0
IGHV2-70	14	2.65	IGLV1-44	11	0.0	0.0	0	0	0
IGHV3-23	14	2.4000000000000004	IGKV1-27	9	0.16	0.15	0	0	0
IGHV3-23	17	4.449999999999999	IGKV1-27	9	0.0	0.0	0	0	0
IGHV4-34	21	4.3500000000000005	IGLV2-23	12	0.12	0.09	0	0	0
IGHV1-46	14	2.45	IGLV1-44	11	0.13	0.13	0	0	0
IGHV3-23	17	1.1	IGKV3-11	9	0.2	0.17	0	0	0
IGHV3-23	17	3.6	IGLV1-40	11	0.07	0.06	0	0	0
IGHV1-46	14	2.1	IGKV3-20	9	0.12	0.11	0	0	0
IGHV1-46	14	2.2	IGKV1-9	9	0.14	0.11	0	0	0
IGHV4-34	17	4.65	IGKV3-15	9	0.07	0.04	0	0	0
IGHV4-34	17	3.1500000000000004	IGLV7-43	9	0.11	0.11	0	0	0
IGHV1-46	14	1.65	IGKV3-20	9	0.19	0.17	0	0	0
IGHV3-7	20	2.7	IGLV3-1	9	0.06	0.05	0	0	0
IGHV3-33	17	1.7	IGKV2-30	10	0.14	0.12	0	0	0
IGHV1-8	14	2.3	IGKV2-30	9	0.0	0.0	0	0	0
IGHV3-33	17	1.95	IGLV3-1	9	0.0	0.0	0	0	0
IGHV3-33	17	1.1	IGKV1-33	9	0.09	0.09	0	0	0
IGHV3-15	20	2.6000000000000005	IGKV3-15	11	0.02	0.01	0	0	0
IGHV3-33	17	2.5500000000000003	IGLV2-14	10	0.03	0.02	0	0	0
IGHV3-43D	14	1.9500000000000002	IGKV3-20	11	0.05	0.06	0	0	0
IGHV3-33	17	4.65	IGLV2-8	10	0.08	0.06	0	0	0
IGHV3-43D	14	1.2999999999999998	IGKV1-27	9	0.12	0.07	0	0	0
IGHV3-49	14	3.1	IGKV4-1	9	0.0	0.0	0	0	0
IGHV3-33	17	2.45	IGKV1-33	9	0.08	0.07	0	0	0
IGHV5-10-1	11	0.95	IGLV7-46	14	0.19	0.2	0	0	0
IGHV3-11	24	4.449999999999999	IGKV3-11	10	0.0	0.0	0	0	0
IGHV1-46	14	1.35	IGLV2-8	11	0.0	0.0	0	0	0
IGHV4-39	21	1.9500000000000002	IGLV1-44	11	0.24	0.18	0	0	0
IGHV6-1	11	1.9000000000000001	IGLV3-21	11	0.13	0.12	0	0	0
IGHV3-9	18	2.2	IGKV1-8	9	0.0	0.0	0	0	0
IGHV5-51	12	2.35	IGLV2-14	10	0.1	0.1	0	0	0
IGHV3-23	14	3.4000000000000004	IGKV3-20	9	0.06	0.04	0	0	0
IGHV1-3	15	3.1500000000000004	IGKV3-11	8	0.0	0.0	0	0	0
IGHV3-48	18	2.5	IGLV1-47	12	0.12	0.12	0	0	0
IGHV3-33	17	3.35	IGKV3-15	9	0.14	0.09	0	0	0
IGHV2-70	14	1.15	IGLV2-14	11	0.07	0.09	0	0	0
IGHV4-59	17	2.75	IGKV3-15	10	0.08	0.06	0	0	0
IGHV4-61	17	3.6	IGKV3-15	10	0.16	0.13	0	0	0
IGHV2-70	14	2.95	IGLV2-14	10	0.02	0.0	0	0	0
IGHV2-70	14	3.05	IGLV2-14	10	0.04	0.04	0	0	0
IGHV2-70	14	3.05	IGLV9-49	13	0.05	0.02	0	0	0
IGHV4-61	17	3.1500000000000004	IGKV2-28	9	0.1	0.09	0	0	0
IGHV4-61	17	3.7	IGKV2-28	9	0.1	0.09	0	0	0
IGHV3-23	14	1.6500000000000001	IGKV1-39	9	0.07	0.06	0	0	0
IGHV4-61	17	3.45	IGLV2-14	10	0.1	0.09	0	0	0
IGHV3-23	14	1.9500000000000002	IGKV6D-21	9	0.14	0.11	0	0	0
IGHV1-46	17	2.8000000000000003	IGLV3-19	11	0.14	0.12	0	0	0
IGHV3-23	14	1.4000000000000004	IGKV1-5	9	0.15	0.15	0	0	0
IGHV1-24	17	4.2	IGLV3-19	10	0.0	0.0	0	0	0
IGHV3-9	13	0.5	IGKV1D-8	9	0.0	0.0	0	0	0
IGHV3-23	14	2.65	IGKV2-28	9	0.16	0.15	0	0	0
IGHV3-23	14	0.8	IGKV3-20	9	0.13	0.1	0	0	0
IGHV3-9	13	1.0	IGKV1-6	9	0.11	0.07	0	0	0
IGHV3-9	21	4.8999999999999995	IGKV3-20	11	0.08	0.09	0	0	0
IGHV3-21	18	3.35	IGKV3-11	8	0.0	0.0	0	0	0
IGHV4-59	18	3.4	IGLV1-51	11	0.0	0.0	0	0	0
IGHV4-39	21	5.95	IGKV1-39	9	0.27	0.2	0	0	0
IGHV1-18	11	1.35	IGKV1-17	9	0.0	0.0	0	0	0
IGHV3-21	14	1.3	IGLV1-44	11	0.0	0.0	0	0	0
IGHV1-3	11	0.2	IGLV8-61	10	0.12	0.11	0	0	0
IGHV7-4-1	15	2.25	IGLV2-23	11	0.0	0.0	0	0	0
IGHV5-51	12	0.85	IGLV8-61	10	0.01	0.0	0	0	0
IGHV4-4	18	3.7	IGLV2-18	10	0.2	0.15	0	0	0
IGHV3-23	14	2.65	IGKV1-27	9	0.07	0.06	0	0	0
IGHV5-51	17	2.1	IGLV8-61	10	0.14	0.15	0	0	0
IGHV3-23	14	1.0	IGLV3-21	11	0.12	0.06	0	0	0
IGHV5-51	17	1.7500000000000002	IGLV1-47	12	0.13	0.13	0	0	0
IGHV3-23	14	2.15	IGKV3-20	9	0.1	0.07	0	0	0
IGHV5-51	17	2.85	IGKV2-28	9	0.02	0.0	0	0	0
IGHV3-23	14	1.5000000000000004	IGKV1-39	10	0.1	0.1	0	0	0
IGHV5-51	17	1.95	IGLV1-51	11	0.11	0.1	0	0	0
IGHV3-23	14	2.45	IGKV1-39	10	0.09	0.09	0	0	0
IGHV5-51	17	3.3000000000000007	IGKV1-39	9	0.01	0.0	0	0	0
IGHV3-23	14	1.4000000000000001	IGKV3-15	9	0.05	0.05	0	0	0
IGHV5-51	17	5.85	IGLV1-47	11	0.06	0.04	0	0	0
IGHV3-23	14	0.7	IGKV3-20	9	0.1	0.05	0	0	0
IGHV5-51	17	4.1	IGLV8-61	8	0.03	0.02	0	0	0
