sequence_id	vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW
M-1697-G2-K-T1m-2110-D1-1	IGHV3-30	15	4.449999999999999	IGKV3-15	9	0.09	0.05	0	0
M-1473-G2-K-T1m-2110-D1-1	IGHV3-30-3	15	2.45	IGKV3-15	8	0.13	0.07	0	0
M-1599-G1-L-T1m-2110-D1-1	IGHV3-30	15	4.25	IGLV3-1	10	0.05	0.04	0	0
M-2166-G3-L-T1m-2110-D1-1	IGHV3-43	13	2.6	IGLV2-14	10	0.12	0.1	0	0
M-275-M-L-T1m-2110-D1-1	IGHV6-1	17	2.2	IGLV9-49	13	0.0	0.0	0	0
M-788-G2-L-T1m-2110-D1-1	IGHV4-30-4	17	2.4	IGLV3-1	10	0.17	0.13	0	0
M-45-G1-K-T1m-2110-D1-1	IGHV4-30-4	17	2.6500000000000004	IGKV4-1	9	0.11	0.1	0	0
M-1555-G1-L-T1m-2110-D1-1	IGHV4-30-4	17	1.85	IGLV2-14	14	0.08	0.07	0	0
M-823-G1-L-T1m-2110-D1-1	IGHV3-30	17	5.05	IGLV3-25	11	0.03	0.04	0	0
M-1506-G1-L-T1m-2110-D1-1	IGHV3-11	17	0.95	IGLV1-44	11	0.15	0.13	0	0
M-1891-G1-L-T1m-2110-D1-1	IGHV3-11	17	2.8	IGLV6-57	9	0.13	0.12	0	0
M-1911-G2-L-T1m-2110-D1-1	IGHV3-48	17	4.05	IGLV1-47	11	0.11	0.09	0	0
M-1817-G1-L-T1m-2110-D1-1	IGHV1-2	13	1.8000000000000003	IGLV3-21	12	0.09	0.09	0	0
M-1421-G2-L-T1m-2110-D1-1	IGHV3-15	13	0.5	IGLV2-23	10	0.1	0.04	0	0
M-1846-G2-K-T1m-2110-D1-1	IGHV3-15	13	0.5	IGKV2-28	9	0.13	0.1	0	0
M-525-G2-K-T1m-2110-D1-1	IGHV3-15	13	0.5	IGKV2-28	9	0.13	0.1	0	0
M-1967-G1-L-T1m-2110-D1-1	IGHV5-51	13	1.1	IGLV3-21	9	0.08	0.07	0	0
M-2079-G1-L-T1m-2110-D1-1	IGHV3-74	17	3.4000000000000004	IGLV3-1	9	0.0	0.0	0	0
M-887-G2-L-T1m-2110-D1-1	IGHV3-74	17	2.4500000000000006	IGLV1-47	10	0.15	0.12	0	0
M-1653-G2-L-T1m-2110-D1-1	IGHV3-74	17	3.8500000000000005	IGLV2-14	10	0.13	0.11	0	0
M-26-G1-K-T1m-2110-D1-1	IGHV3-7	17	1.8000000000000003	IGKV1-39	9	0.12	0.09	0	0
M-761-G2-L-T1m-2110-D1-1	IGHV5-51	11	2.3	IGLV1-40	11	0.06	0.05	0	0
M-395-G1-L-T1m-2110-D1-1	IGHV3-7	17	2.2	IGLV2-14	10	0.08	0.06	0	0
