sequence_id	vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW
M-2372-G1-K-B3-2208-P3-1	IGHV3-23	19	2.9000000000000004	IGKV3-15	9	0.23	0.2	0	0
M-997-G2-K-B3-2208-P3-1	IGHV3-23	19	4.35	IGKV1-5	9	0.06	0.04	0	0
M-2905-G4-K-B3-2208-P3-1	IGHV1-46	14	1.2500000000000002	IGKV1-39	9	0.13	0.11	0	0
M-276-G3-K-B3-2208-P3-1	IGHV1-46	14	2.8500000000000005	IGKV3-20	11	0.15	0.12	0	0
M-2120-G3-K-B3-2208-P3-1	IGHV1-46	14	3.3500000000000005	IGKV3-20	11	0.38	0.34	0	0
M-914-G1-K-B3-2208-P3-1	IGHV3-21	14	3.1	IGKV3-20	9	0.04	0.02	0	0
M-1718-G1-K-B3-2208-P3-1	IGHV3-21	14	4.849999999999999	IGKV3-20	9	0.03	0.01	0	0
M-3468-G1-K-B3-2208-P3-1	IGHV5-51	14	1.2500000000000002	IGKV4-1	9	0.13	0.15	0	0
M-3297-M-L-B3-2208-P3-1	IGHV1-8	14	3.2500000000000004	IGLV1-44	13	0.0	0.0	0	0
M-2244-G1-L-B3-2208-P3-1	IGHV3-13	12	2.95	IGLV1-51	11	0.02	0.02	0	0
M-3797-G1-K-B3-2208-P3-1	IGHV1-8	14	1.6	IGKV3-20	9	0.05	0.04	0	0
M-351-G1-L-B3-2208-P3-1	IGHV3-72	14	2.3000000000000003	IGLV1-44	13	0.09	0.06	0	0
M-1084-G1-K-B3-2208-P3-1	IGHV1-3	14	3.4000000000000004	IGKV2-28	9	0.07	0.05	0	0
M-3965-M-L-B3-2208-P3-1	IGHV1-3	14	1.4500000000000002	IGLV3-9	11	0.0	0.0	0	0
M-1087-G1-K-B3-2208-P3-1	IGHV4-39	14	3.6	IGKV2-30	9	0.0	0.0	0	0
M-862-G3-K-B3-2208-P3-1	IGHV4-39	14	4.549999999999999	IGKV3-20	11	0.06	0.06	0	0
M-1710-G2-L-B3-2208-P3-1	IGHV4-39	14	1.4500000000000002	IGLV3-1	9	0.02	0.0	0	0
M-596-G2-L-B3-2208-P3-1	IGHV1-2	14	1.8500000000000003	IGLV1-51	11	0.22	0.22	0	0
M-732-G1-L-B3-2208-P3-1	IGHV3-11	12	2.6500000000000004	IGLV1-47	11	0.08	0.05	0	0
M-2699-G3-L-B3-2208-P3-1	IGHV1-2	14	1.5500000000000003	IGLV3-10	10	0.21	0.24	0	0
M-278-G1-K-B3-2208-P3-1	IGHV1-69	14	1.1	IGKV1-39	8	0.15	0.12	0	0
M-2261-G1-L-B3-2208-P3-1	IGHV1-69	14	0.9	IGLV1-40	12	0.09	0.06	0	0
M-1174-M-L-B3-2208-P3-1	IGHV1-69	14	1.6	IGLV3-19	11	0.01	0.01	0	0
M-3623-G3-K-B3-2208-P3-1	IGHV3-11	14	3.1500000000000004	IGKV3-20	14	0.26	0.26	0	0
M-576-G3-K-B3-2208-P3-1	IGHV3-11	14	3.1500000000000004	IGKV3-20	14	0.23	0.22	0	0
M-2226-G1-K-B3-2208-P3-1	IGHV4-30-4	14	1.0	IGKV3-15	10	0.07	0.07	0	0
M-2266-G1-K-B3-2208-P3-1	IGHV3-74	14	2.0000000000000004	IGKV1-39	9	0.08	0.04	0	0
M-2955-G1-L-B3-2208-P3-1	IGHV1-46	19	3.0	IGLV3-21	11	0.2	0.16	0	0
