sequence_id	vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW
M-1263-G1-K-G3-2208-P3-1	IGHV2-5	12	0.5	IGKV1-9	8	0.07	0.04	0	0
M-705-G1-K-G3-2208-P3-1	IGHV2-5	12	0.7	IGKV1-33	8	0.09	0.07	0	0
M-22-G1-L-G3-2208-P3-1	IGHV2-5	12	2.8	IGLV2-11	11	0.01	0.01	0	0
M-1603-G1-L-G3-2208-P3-1	IGHV2-5	12	1.2500000000000002	IGLV3-1	11	0.17	0.18	0	0
M-34-G3-L-G3-2208-P3-1	IGHV2-5	12	1.55	IGLV2-23	10	0.03	0.04	0	0
M-3680-G1-K-G3-2208-P3-1	IGHV3-21	12	1.8000000000000003	IGKV3-15	9	0.1	0.06	0	0
M-1368-G1-L-G3-2208-P3-1	IGHV1-2	12	1.8	IGLV3-1	9	0.17	0.15	0	0
M-1308-G3-K-G3-2208-P3-1	IGHV1-2	12	2.05	IGKV1-8	9	0.2	0.17	0	0
M-793-G1-L-G3-2208-P3-1	IGHV1-2	12	1.75	IGLV8-61	10	0.2	0.21	0	0
M-1595-G1-L-G3-2208-P3-1	IGHV1-2	12	0.7	IGLV3-25	10	0.15	0.13	0	0
M-658-G3-L-G3-2208-P3-1	IGHV3-30	14	0.6	IGLV3-27	9	0.07	0.05	0	0
M-2779-G2-K-G3-2208-P3-1	IGHV1-2	12	3.2	IGKV1-5	9	0.06	0.05	0	0
M-840-G1-L-G3-2208-P3-1	IGHV1-2	12	1.75	IGLV3-21	11	0.07	0.09	0	0
M-966-G1-K-G3-2208-P3-1	IGHV1-8	12	0.95	IGKV4-1	9	0.05	0.05	0	0
M-1219-G1-K-G3-2208-P3-1	IGHV4-59	12	1.9000000000000001	IGKV3-15	9	0.01	0.01	0	0
M-1348-G1-K-G3-2208-P3-1	IGHV4-59	12	1.7000000000000002	IGKV4-1	9	0.05	0.04	0	0
M-2869-G1-L-G3-2208-P3-1	IGHV4-59	12	1.9000000000000001	IGLV2-14	9	0.04	0.02	0	0
M-3602-G1-K-G3-2208-P3-1	IGHV4-59	12	2.6500000000000004	IGKV3-20	10	0.12	0.07	0	0
M-1654-G1-K-G3-2208-P3-1	IGHV4-59	12	2.0500000000000003	IGKV3-11	9	0.05	0.04	0	0
M-113-G1-L-G3-2208-P3-1	IGHV1-2	12	1.25	IGLV2-11	10	0.03	0.02	0	0
M-1089-G1-K-G3-2208-P3-1	IGHV1-2	12	0.9999999999999999	IGKV1-6	9	0.17	0.17	0	0
M-2586-G4-L-G3-2208-P3-1	IGHV3-30	14	2.5500000000000003	IGLV2-11	10	0.09	0.06	0	0
M-1627-G1-L-G3-2208-P3-1	IGHV1-2	12	1.4500000000000002	IGLV1-47	11	0.02	0.01	0	0
M-3799-G1-L-G3-2208-P3-1	IGHV3-7	12	1.9000000000000001	IGLV7-43	11	0.03	0.02	0	0
M-3084-D-L-G3-2208-P3-1	IGHV3-7	12	2.3	IGLV2-14	11	0.03	0.0	0	0
M-359-G1-L-G3-2208-P3-1	IGHV3-7	12	1.8	IGLV1-40	11	0.08	0.06	0	0
M-2417-G1-L-G3-2208-P3-1	IGHV3-7	12	1.1	IGLV1-44	11	0.09	0.09	0	0
M-481-G1-L-G3-2208-P3-1	IGHV3-7	12	2.5500000000000003	IGLV2-23	11	0.01	0.01	0	0
M-910-G2-K-G3-2208-P3-1	IGHV3-7	12	2.5	IGKV4-1	9	0.13	0.13	0	0
M-2817-G1-L-G3-2208-P3-1	IGHV2-26	12	3.1500000000000004	IGLV3-1	9	0.13	0.12	0	0
