sequence_id	vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW
M-1988-M-K-S4-2302-P4-1	IGHV3-30	15	1.55	IGKV3-11	9	0.11	0.06	0	0
M-959-X-L-S4-2302-P4-1	IGHV3-30	15	3.7	IGLV1-40	12	0.23	0.22	0	0
M-710-M-L-S4-2302-P4-1	IGHV3-74	16	3.4000000000000004	IGLV1-47	10	0.09	0.06	0	0
M-1760-M-K-S4-2302-P4-1	IGHV3-20	16	2.0	IGKV1-27	9	0.1	0.09	0	0
M-1620-M-L-S4-2302-P4-1	IGHV4-30-2	19	4.55	IGLV1-40	13	0.0	0.0	0	0
M-2412-G1-L-S4-2302-P4-1	IGHV1-69-2	16	3.35	IGLV2-14	12	0.04	0.05	0	0
M-1755-G1-K-S4-2302-P4-1	IGHV4-30-4	19	4.300000000000001	IGKV1-5	8	0.09	0.04	0	0
M-1846-G1-K-S4-2302-P4-1	IGHV1-18	16	2.4	IGKV3-15	8	0.08	0.07	0	0
M-2396-G1-K-S4-2302-P4-1	IGHV1-2	16	2.8000000000000003	IGKV1-13	9	0.08	0.06	0	0
M-2227-G1-L-S4-2302-P4-1	IGHV2-70	14	2.75	IGLV2-14	10	0.02	0.02	0	0
M-990-M-L-S4-2302-P4-1	IGHV1-2	16	2.6500000000000004	IGLV9-49	13	0.02	0.01	0	0
M-2029-G1-K-S4-2302-P4-1	IGHV1-18	19	4.449999999999999	IGKV3-11	5	0.08	0.07	0	0
M-2783-M-K-S4-2302-P4-1	IGHV1-18	19	3.1500000000000004	IGKV3-20	9	0.11	0.1	0	0
M-1718-X-K-S4-2302-P4-1	IGHV1-18	19	3.3000000000000003	IGKV1-27	8	0.12	0.11	0	0
M-1738-M-K-S4-2302-P4-1	IGHV1-18	19	3.8500000000000005	IGKV1-17	9	0.14	0.12	0	0
M-2535-M-K-S4-2302-P4-1	IGHV1-18	19	2.95	IGKV3-15	9	0.16	0.15	0	0
M-2468-M-K-S4-2302-P4-1	IGHV1-18	19	2.9000000000000004	IGKV1-5	9	0.11	0.11	0	0
M-1863-G1-K-S4-2302-P4-1	IGHV1-18	19	1.6500000000000001	IGKV1-5	10	0.18	0.16	0	0
M-1853-M-L-S4-2302-P4-1	IGHV1-8	14	2.3	IGLV3-19	11	0.05	0.04	0	0
M-2708-A1-K-S4-2302-P4-1	IGHV1-69	16	1.65	IGKV3-20	9	0.23	0.18	0	0
M-2476-D-K-S4-2302-P4-1	IGHV1-69	16	1.9500000000000002	IGKV3-11	11	0.17	0.16	0	0
M-1049-G1-K-S4-2302-P4-1	IGHV1-69	16	3.5500000000000003	IGKV3-15	10	0.19	0.15	0	0
M-1659-G1-L-S4-2302-P4-1	IGHV3-15	16	2.5	IGLV6-57	10	0.18	0.15	0	0
M-1835-M-L-S4-2302-P4-1	IGHV3-48	16	3.1500000000000004	IGLV3-1	9	0.24	0.22	0	0
M-3128-D-K-S4-2302-P4-1	IGHV3-30	16	1.3500000000000003	IGKV4-1	9	0.09	0.07	0	0
M-1597-M-L-S4-2302-P4-1	IGHV4-39	16	4.299999999999999	IGLV3-21	9	0.0	0.0	0	0
M-2344-M-K-S4-2302-P4-1	IGHV3-66	14	0.6	IGKV2-28	9	0.13	0.12	0	0
M-598-X-L-S4-2302-P4-1	IGHV4-39	16	4.35	IGLV2-23	10	0.0	0.0	0	0
M-3073-G1-K-S4-2302-P4-1	IGHV4-39	16	3.75	IGKV3-15	10	0.15	0.12	0	0
M-2099-X-K-S4-2302-P4-1	IGHV4-39	16	3.4000000000000004	IGKV1-8	9	0.18	0.15	0	0
M-908-X-K-S4-2302-P4-1	IGHV3-30	16	3.8000000000000003	IGKV3-20	8	0.12	0.12	0	0
M-49-X-K-S4-2302-P4-1	IGHV3-30	16	1.85	IGKV1-16	9	0.24	0.18	0	0
M-932-M-L-S4-2302-P4-1	IGHV3-15	16	2.5000000000000004	IGLV3-21	11	0.04	0.04	0	0
M-473-X-K-S4-2302-P4-1	IGHV1-8	19	4.550000000000001	IGKV2-30	9	0.15	0.15	0	0
M-2652-M-K-S4-2302-P4-1	IGHV1-8	19	4.050000000000001	IGKV1-5	8	0.08	0.07	0	0
M-171-M-K-S4-2302-P4-1	IGHV1-8	19	2.2	IGKV3-20	8	0.12	0.15	0	0
M-2513-M-K-S4-2302-P4-1	IGHV1-69-2	16	2.65	IGKV2-30	10	0.11	0.11	0	0
M-1054-M-K-S4-2302-P4-1	IGHV3-15	14	1.5	IGKV1-33	5	0.1	0.07	0	0
M-738-A1-L-S4-2302-P4-1	IGHV4-34	16	0.7	IGLV2-23	11	0.08	0.06	0	0
M-2423-G3-K-S4-2302-P4-1	IGHV4-34	16	3.7	IGKV1-12	9	0.02	0.01	0	0
M-2488-M-L-S4-2302-P4-1	IGHV4-34	16	2.1	IGLV3-19	11	0.05	0.04	0	0
M-1504-M-K-S4-2302-P4-1	IGHV4-34	16	4.749999999999999	IGKV3-20	9	0.0	0.0	0	0
M-484-M-K-S4-2302-P4-1	IGHV4-34	16	3.0	IGKV3-11	9	0.02	0.02	0	0
M-2004-M-K-S4-2302-P4-1	IGHV3-30-3	16	1.85	IGKV3-20	9	0.05	0.04	0	0
M-3027-A1-K-S4-2302-P4-1	IGHV5-51	16	2.3000000000000003	IGKV1-6	9	0.13	0.15	0	0
M-2308-M-K-S4-2302-P4-1	IGHV3-64D	14	2.5	IGKV3-20	10	0.21	0.22	0	0
M-1203-D-L-S4-2302-P4-1	IGHV5-51	16	3.1500000000000004	IGLV2-14	11	0.22	0.22	0	0
M-2133-X-K-S4-2302-P4-1	IGHV1-46	16	2.4	IGKV3-15	8	0.15	0.15	0	0
M-3047-M-K-S4-2302-P4-1	IGHV3-48	19	2.5500000000000003	IGKV3-15	9	0.13	0.07	0	0
M-1293-M-K-S4-2302-P4-1	IGHV3-30	19	2.5500000000000003	IGKV4-1	9	0.25	0.24	0	0
M-3177-M-L-S4-2302-P4-1	IGHV3-30	19	2.5500000000000003	IGLV3-25	11	0.15	0.16	0	0
M-259-M-L-S4-2302-P4-1	IGHV3-7	16	1.7500000000000002	IGLV2-14	11	0.16	0.12	0	0
