sequence_id	vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW
M-4367-M-K-G5-1200-P5-1	IGHV3-49	17	2.3000000000000003	IGKV1D-12	9	0.0	0.0	0	0
M-4700-M-K-G5-1200-P5-1	IGHV4-4	17	3.7	IGKV3-20	9	0.14	0.13	0	0
M-1705-M-L-G5-1200-P5-1	IGHV5-51	17	4.5	IGLV8-61	10	0.03	0.02	0	0
M-2395-A1-K-G5-1200-P5-1	IGHV5-51	17	3.6500000000000004	IGKV3-20	10	0.11	0.06	0	0
M-3767-M-L-G5-1200-P5-1	IGHV5-51	17	3.4000000000000004	IGLV1-47	11	0.0	0.0	0	0
M-1106-M-K-G5-1200-P5-1	IGHV5-51	17	1.4	IGKV1-NL1	9	0.0	0.0	0	0
M-555-M-K-G5-1200-P5-1	IGHV5-51	17	2.4	IGKV3-15	10	0.1	0.09	0	0
M-2509-M-K-G5-1200-P5-1	IGHV4-39	17	1.5999999999999999	IGKV3-20	8	0.03	0.02	0	0
M-1840-M-L-G5-1200-P5-1	IGHV3-21	17	2.5000000000000004	IGLV3-25	11	0.0	0.0	0	0
M-3065-M-K-G5-1200-P5-1	IGHV3-21	20	3.6	IGKV1-39	9	0.0	0.0	0	0
M-4665-M-K-G5-1200-P5-1	IGHV3-21	17	2.0	IGKV3-11	11	0.0	0.0	0	0
M-3461-M-L-G5-1200-P5-1	IGHV3-21	17	3.8000000000000003	IGLV1-40	9	0.04	0.01	0	0
M-788-G3-K-G5-1200-P5-1	IGHV1-3	17	1.65	IGKV3-20	9	0.03	0.04	0	0
M-493-M-K-G5-1200-P5-1	IGHV3-30	17	3.45	IGKV3-15	10	0.01	0.01	0	0
M-4009-G1-L-G5-1200-P5-1	IGHV3-30	17	2.6500000000000004	IGLV3-21	11	0.08	0.06	0	0
M-1319-M-K-G5-1200-P5-1	IGHV3-7	17	2.6	IGKV3-15	10	0.01	0.0	0	0
M-4692-M-L-G5-1200-P5-1	IGHV3-7	17	1.6	IGLV1-51	11	0.0	0.0	0	0
M-3866-M-L-G5-1200-P5-1	IGHV3-23	17	4.45	IGLV2-14	10	0.06	0.04	0	0
M-1007-M-K-G5-1200-P5-1	IGHV3-7	17	2.4	IGKV2-28	9	0.15	0.13	0	0
M-562-M-L-G5-1200-P5-1	IGHV4-59	17	3.0500000000000003	IGLV3-25	11	0.04	0.05	0	0
M-1395-M-K-G5-1200-P5-1	IGHV1-46	20	2.15	IGKV1-27	9	0.0	0.0	0	0
M-4731-M-L-G5-1200-P5-1	IGHV1-69	17	4.55	IGLV1-40	12	0.0	0.0	0	0
M-747-G1-K-G5-1200-P5-1	IGHV4-31	17	2.7500000000000004	IGKV4-1	9	0.11	0.1	0	0
M-1798-M-K-G5-1200-P5-1	IGHV4-31	17	4.3	IGKV1-17	9	0.0	0.0	0	0
M-1386-M-K-G5-1200-P5-1	IGHV4-31	17	2.2500000000000004	IGKV1-33	10	0.0	0.0	0	0
M-3011-M-K-G5-1200-P5-1	IGHV1-3	17	3.65	IGKV1-NL1	9	0.0	0.0	0	0
M-1149-M-K-G5-1200-P5-1	IGHV1-24	17	4.45	IGKV4-1	9	0.0	0.0	0	0
M-2214-M-K-G5-1200-P5-1	IGHV1-24	17	4.6499999999999995	IGKV3-11	11	0.0	0.0	0	0
M-2624-M-L-G5-1200-P5-1	IGHV1-8	17	3.9000000000000004	IGLV7-43	9	0.0	0.0	0	0
M-1108-A1-L-G5-1200-P5-1	IGHV1-46	20	2.4000000000000004	IGLV2-14	10	0.08	0.06	0	0
M-3510-M-L-G5-1200-P5-1	IGHV3-13	17	2.75	IGLV3-25	12	0.05	0.02	0	0
M-3900-M-L-G5-1200-P5-1	IGHV3-33	17	1.7500000000000002	IGLV3-19	11	0.0	0.0	0	0
M-1092-M-K-G5-1200-P5-1	IGHV3-33	17	1.0	IGKV1-33	9	0.0	0.0	0	0
M-978-M-L-G5-1200-P5-1	IGHV3-33	17	1.6	IGLV3-21	11	0.0	0.0	0	0
M-3487-M-L-G5-1200-P5-1	IGHV3-33	17	1.0	IGLV10-54	11	0.04	0.02	0	0
M-967-M-L-G5-1200-P5-1	IGHV4-4	17	4.15	IGLV3-21	12	0.0	0.0	0	0
M-2245-M-K-G5-1200-P5-1	IGHV4-4	17	3.0000000000000004	IGKV3-20	9	0.0	0.0	0	0
M-1777-M-K-G5-1200-P5-1	IGHV4-4	17	2.7500000000000004	IGKV3-11	9	0.0	0.0	0	0
M-2655-D-L-G5-1200-P5-1	IGHV4-4	17	4.3	IGLV1-47	11	0.02	0.0	0	0
M-3935-G1-K-G5-1200-P5-1	IGHV3-33	17	3.8000000000000003	IGKV1-39	9	0.0	0.0	0	0
M-3016-M-L-G5-1200-P5-1	IGHV3-33	17	3.6	IGLV2-14	10	0.0	0.0	0	0
M-3820-M-L-G5-1200-P5-1	IGHV3-33	17	3.15	IGLV3-19	11	0.0	0.0	0	0
